gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Jackson,Hunt,280,Karen Dr,Salem,North Carolina,United States,75106,28.6621,-105.8521,-9:00,Alaska,jackson.hunt@example.com,1971-01-03T23:48:14.256Z,50,2006-12-08T15:11:55.807Z,15,(855)-525-4901,(952)-147-6975,SSN,681-11-3218,https://randomuser.me/api/portraits/men/52.jpg,https://randomuser.me/api/portraits/med/men/52.jpg,https://randomuser.me/api/portraits/thumb/men/52.jpg,US
male,Mr,Marshall,Martin,6704,Valwood Pkwy,Santa Clara,Wyoming,United States,50012,11.9326,145.4909,+5:45,Kathmandu,marshall.martin@example.com,1982-01-09T13:21:25.888Z,39,2004-03-23T23:38:45.110Z,17,(851)-225-2704,(715)-599-2567,SSN,194-03-7208,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
male,Mr,Gabe,Gray,5360,E Pecan St,Santa Rosa,North Carolina,United States,20953,27.2665,-155.5583,-9:00,Alaska,gabe.gray@example.com,1991-01-29T20:25:09.186Z,30,2015-10-19T01:19:22.478Z,6,(358)-422-7286,(679)-289-4779,SSN,124-42-7502,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
female,Mrs,Wanda,Knight,5661,N Stelling Rd,Arvada,California,United States,56119,19.5505,85.4535,-10:00,Hawaii,wanda.knight@example.com,1989-01-21T04:12:59.009Z,32,2014-01-18T08:13:21.958Z,7,(086)-166-0770,(672)-033-0992,SSN,833-00-9396,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg,US
female,Mrs,Carmen,Pierce,4416,Edwards Rd,Farmers Branch,North Carolina,United States,15189,6.2880,-139.1223,-10:00,Hawaii,carmen.pierce@example.com,1987-03-28T12:23:13.377Z,34,2011-05-14T13:05:18.701Z,10,(103)-875-5474,(374)-204-4966,SSN,726-87-9509,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
female,Miss,Letitia,Oliver,3954,Mcgowen St,Scottsdale,Missouri,United States,87067,-80.5795,111.2945,-3:30,Newfoundland,letitia.oliver@example.com,1967-10-27T00:59:38.868Z,54,2017-03-05T23:19:57.983Z,4,(523)-096-2722,(502)-298-0031,SSN,756-01-8565,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg,US
female,Miss,Valerie,Wood,4916,Wheeler Ridge Dr,Visalia,Maryland,United States,25298,-45.1219,-69.9283,-10:00,Hawaii,valerie.wood@example.com,1982-12-10T03:32:14.199Z,39,2007-10-09T15:14:57.010Z,14,(809)-953-7984,(277)-523-8890,SSN,505-77-1062,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
male,Mr,Arron,Lee,7226,Mockingbird Ln,San Diego,Connecticut,United States,20475,-85.4773,-0.2201,+3:30,Tehran,arron.lee@example.com,1967-05-06T03:45:31.968Z,54,2011-05-10T03:48:32.637Z,10,(767)-878-3204,(400)-272-3764,SSN,235-98-0760,https://randomuser.me/api/portraits/men/6.jpg,https://randomuser.me/api/portraits/med/men/6.jpg,https://randomuser.me/api/portraits/thumb/men/6.jpg,US
male,Mr,Douglas,Snyder,4705,Hillcrest Rd,Sioux Falls,Virginia,United States,30333,-15.1855,51.6199,+3:30,Tehran,douglas.snyder@example.com,1968-04-09T03:16:07.327Z,53,2014-08-31T09:16:37.977Z,7,(272)-593-2795,(322)-337-7136,SSN,186-14-6486,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,US
male,Mr,Cody,Stone,2377,N Stelling Rd,Green Bay,Massachusetts,United States,17638,11.8077,-39.7493,+4:30,Kabul,cody.stone@example.com,1960-10-15T12:45:30.980Z,61,2006-12-13T18:48:39.719Z,15,(401)-360-2353,(070)-997-6631,SSN,298-53-4796,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
