gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Lester,Holmes,8871,Edwards Rd,Ventura,Washington,United States,16185,-72.3705,-147.1346,+5:45,Kathmandu,lester.holmes@example.com,1960-06-12T09:45:32.195Z,61,2016-07-26T22:17:10.052Z,5,(117)-511-2779,(171)-776-6167,SSN,177-59-4189,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
male,Mr,Jorge,Sims,4140,Camden Ave,Miami Gardens,Oregon,United States,32692,10.2269,-20.8082,-7:00,Mountain Time (US & Canada),jorge.sims@example.com,1977-02-19T04:48:49.892Z,44,2006-11-11T23:14:46.858Z,15,(382)-999-8830,(802)-778-9915,SSN,463-59-6526,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Enrique,Cruz,5781,Miller Ave,Seattle,Nevada,United States,63116,43.3109,-109.7864,-8:00,Pacific Time (US & Canada),enrique.cruz@example.com,1950-01-20T21:47:27.316Z,71,2004-04-03T08:00:36.910Z,17,(697)-661-6108,(836)-427-0108,SSN,448-63-8870,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
male,Mr,Johnni,Mason,112,Spring Hill Rd,Steilacoom,Alabama,United States,48084,0.2088,152.1569,-2:00,Mid-Atlantic,johnni.mason@example.com,1966-01-22T08:01:18.535Z,55,2009-01-15T18:11:33.087Z,12,(355)-666-6910,(832)-241-8006,SSN,480-37-7779,https://randomuser.me/api/portraits/men/21.jpg,https://randomuser.me/api/portraits/med/men/21.jpg,https://randomuser.me/api/portraits/thumb/men/21.jpg,US
female,Mrs,Sylvia,Peterson,1454,Hunters Creek Dr,Henderson,Arizona,United States,79626,37.5116,-115.4537,-9:00,Alaska,sylvia.peterson@example.com,1946-05-05T10:12:43.646Z,75,2005-05-09T10:37:32.285Z,16,(834)-865-1621,(233)-506-7729,SSN,379-62-1294,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
female,Miss,Beverly,White,6724,Depaul Dr,Fort Worth,Wyoming,United States,63181,19.1497,40.1348,-2:00,Mid-Atlantic,beverly.white@example.com,1981-08-31T02:33:18.593Z,40,2016-06-10T14:21:38.310Z,5,(108)-330-7949,(396)-505-3977,SSN,724-97-8277,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
male,Mr,Javier,Edwards,5312,Hamilton Ave,Lakewood,New Mexico,United States,14235,56.9534,104.1861,-2:00,Mid-Atlantic,javier.edwards@example.com,1988-10-16T08:00:04.783Z,33,2012-07-29T02:07:27.965Z,9,(494)-993-0576,(565)-382-8848,SSN,293-88-6377,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
female,Miss,Marlene,Chambers,5162,Groveland Terrace,Cupertino,Michigan,United States,42653,54.4571,166.7582,+3:30,Tehran,marlene.chambers@example.com,1950-12-17T09:02:35.667Z,71,2007-09-10T18:41:46.020Z,14,(067)-828-3696,(297)-587-6178,SSN,796-35-7412,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,US
female,Miss,Michelle,Willis,7118,Robinson Rd,High Point,Washington,United States,19604,17.6390,-168.7462,-3:30,Newfoundland,michelle.willis@example.com,1992-02-24T05:02:45.453Z,29,2010-03-27T05:01:43.010Z,11,(512)-640-6975,(079)-228-0887,SSN,611-95-8082,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
female,Mrs,Irene,Burke,2175,Lakeshore Rd,Corona,New Mexico,United States,86915,79.8155,-152.6928,-8:00,Pacific Time (US & Canada),irene.burke@example.com,1965-05-09T17:05:29.989Z,56,2009-12-02T08:29:03.387Z,12,(464)-585-7272,(240)-506-7401,SSN,630-49-6634,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
female,Mrs,Kaylee,Rodriguez,3478,Lakeview St,Fresno,Oregon,United States,72369,77.2832,98.1758,+5:45,Kathmandu,kaylee.rodriguez@example.com,1988-09-27T02:06:32.061Z,33,2002-09-24T00:48:17.061Z,19,(305)-735-3821,(472)-548-1099,SSN,826-01-3733,https://randomuser.me/api/portraits/women/65.jpg,https://randomuser.me/api/portraits/med/women/65.jpg,https://randomuser.me/api/portraits/thumb/women/65.jpg,US
female,Ms,Nicole,Powell,4048,Spring St,Manchester,Nebraska,United States,90819,-33.7424,126.5971,-9:00,Alaska,nicole.powell@example.com,1994-10-03T17:38:53.127Z,27,2018-04-19T03:56:53.202Z,3,(517)-882-6206,(709)-585-8137,SSN,111-00-9460,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
female,Mrs,Arianna,James,5755,Dane St,Simi Valley,Maine,United States,14093,11.3195,-48.4905,-10:00,Hawaii,arianna.james@example.com,1958-07-10T14:03:40.536Z,63,2011-09-08T02:59:15.817Z,10,(171)-346-7275,(426)-556-5260,SSN,730-31-8753,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
