gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Felix,Howard,2947,Nowlin Rd,Miami,Montana,United States,36304,32.7019,-123.1007,+4:30,Kabul,felix.howard@example.com,1990-10-08T10:34:14.873Z,31,2004-11-16T14:42:28.883Z,17,(410)-867-4257,(812)-060-9130,SSN,735-41-2031,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
female,Miss,Alexis,Bishop,3202,Green Rd,Flint,Pennsylvania,United States,12563,55.7971,-77.0617,-7:00,Mountain Time (US & Canada),alexis.bishop@example.com,1972-01-07T22:30:39.167Z,49,2011-12-27T15:50:53.373Z,10,(593)-142-6834,(125)-311-7604,SSN,787-74-3904,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
male,Mr,Lewis,Wilson,4021,Samaritan Dr,Joliet,Michigan,United States,13671,36.5697,-85.4294,+5:45,Kathmandu,lewis.wilson@example.com,1990-10-16T09:30:58.072Z,31,2009-10-03T06:50:38.665Z,12,(430)-412-0526,(182)-841-8631,SSN,385-61-0656,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
female,Miss,Evelyn,Stewart,1327,Crockett St,Waxahachie,Nevada,United States,11743,25.8369,58.9753,-7:00,Mountain Time (US & Canada),evelyn.stewart@example.com,1948-03-25T03:49:55.852Z,73,2006-05-31T11:42:51.865Z,15,(228)-458-6470,(630)-058-8467,SSN,087-92-9012,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
female,Mrs,Lynn,George,4008,Blossom Hill Rd,Princeton,Rhode Island,United States,59053,-25.2277,-175.7698,-9:00,Alaska,lynn.george@example.com,1951-05-25T15:34:51.400Z,70,2003-07-11T08:20:19.460Z,18,(380)-643-7403,(879)-157-3839,SSN,325-66-3357,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
male,Mr,Ron,Perry,5872,Westheimer Rd,Richmond,Oklahoma,United States,27069,-79.7142,141.1535,-9:00,Alaska,ron.perry@example.com,1958-03-29T09:12:58.238Z,63,2013-12-03T10:58:29.083Z,8,(153)-902-1918,(605)-804-8707,SSN,931-24-6535,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
male,Mr,Travis,Willis,1936,Hickory Creek Dr,Waxahachie,Kansas,United States,72532,49.3809,-40.0399,-8:00,Pacific Time (US & Canada),travis.willis@example.com,1975-04-24T05:34:18.678Z,46,2015-10-28T08:38:14.143Z,6,(066)-766-2772,(689)-838-0139,SSN,479-81-6046,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
female,Miss,Marjorie,Fleming,3086,Pecan Acres Ln,Louisville,Montana,United States,71108,-74.6598,12.4740,+4:30,Kabul,marjorie.fleming@example.com,1992-06-16T07:41:52.759Z,29,2018-09-29T19:49:35.922Z,3,(237)-380-7803,(682)-856-5688,SSN,079-87-9480,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
female,Miss,Hailey,Martinez,4520,Fincher Rd,Santa Maria,Tennessee,United States,43979,-42.6590,-125.7944,+3:30,Tehran,hailey.martinez@example.com,1996-06-15T07:21:04.583Z,25,2014-08-23T16:21:37.251Z,7,(986)-563-9960,(808)-230-5488,SSN,400-53-1753,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
female,Ms,Abigail,Kelley,5593,Marsh Ln,Fort Wayne,Florida,United States,16227,44.2989,108.8319,-9:00,Alaska,abigail.kelley@example.com,1975-09-18T19:13:29.472Z,46,2015-09-20T05:42:52.248Z,6,(133)-228-4403,(528)-565-0265,SSN,889-09-4208,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,US
