gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Stanley,Hoffman,2249,Hillcrest Rd,Fullerton,Ohio,United States,47648,-36.6567,-149.4465,-7:00,Mountain Time (US & Canada),stanley.hoffman@example.com,1973-05-26T17:09:05.330Z,48,2005-10-07T23:01:45.141Z,16,(638)-645-3993,(842)-473-8686,SSN,616-21-9267,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
female,Ms,Sophia,Alexander,3601,N Stelling Rd,Salt Lake City,Idaho,United States,13111,20.0456,-153.7438,-10:00,Hawaii,sophia.alexander@example.com,1996-08-19T23:43:04.573Z,25,2014-02-08T07:24:39.406Z,7,(978)-613-4401,(294)-182-2785,SSN,848-12-6980,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
male,Mr,John,Lawson,1555,Parker Rd,Minneapolis,Rhode Island,United States,38991,57.1080,68.2458,-9:00,Alaska,john.lawson@example.com,1952-06-24T20:59:28.569Z,69,2007-03-17T07:28:19.297Z,14,(252)-820-2796,(354)-306-5169,SSN,727-25-8222,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
male,Mr,Norman,Flores,6006,Mockingbird Hill,San Diego,North Carolina,United States,37992,-15.4680,-145.1958,+5:45,Kathmandu,norman.flores@example.com,1954-10-01T14:28:06.376Z,67,2007-07-31T18:53:15.639Z,14,(326)-095-1089,(576)-969-6199,SSN,451-92-1447,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
male,Mr,Earl,Kim,6188,Westheimer Rd,Corona,Nebraska,United States,75320,54.2161,-171.4038,-9:00,Alaska,earl.kim@example.com,1956-02-23T08:31:30.177Z,65,2004-05-26T22:47:53.104Z,17,(305)-588-1814,(155)-250-5856,SSN,800-58-7746,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg,US
female,Miss,Wanda,Austin,304,White Oak Dr,Frederick,Iowa,United States,80610,-80.3514,-72.0285,+5:45,Kathmandu,wanda.austin@example.com,1990-07-30T17:20:45.816Z,31,2017-07-14T16:26:40.886Z,4,(903)-809-3394,(786)-975-8835,SSN,172-41-6384,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
female,Mrs,Lydia,Day,5414,Walnut Hill Ln,Cape Fear,New Hampshire,United States,47123,-55.9738,15.4086,+4:30,Kabul,lydia.day@example.com,1948-02-27T02:28:46.209Z,73,2019-08-04T08:11:06.403Z,2,(293)-453-6812,(327)-873-0938,SSN,562-42-2304,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
male,Mr,Chris,Morgan,7306,Fairview St,St. Louis,Illinois,United States,45430,0.2902,116.9593,-7:00,Mountain Time (US & Canada),chris.morgan@example.com,1984-08-27T02:11:54.115Z,37,2018-09-20T21:51:26.615Z,3,(964)-030-1187,(306)-858-5443,SSN,024-24-2585,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
female,Ms,Toni,Bowman,4822,Westheimer Rd,Detroit,California,United States,75030,57.3525,42.2579,+3:30,Tehran,toni.bowman@example.com,1969-10-20T19:10:35.102Z,52,2005-07-08T05:06:17.814Z,16,(654)-690-4897,(658)-698-1530,SSN,600-28-5076,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
female,Ms,Lesa,Ortiz,3213,Frances Ct,Bakersfield,Wyoming,United States,71400,-6.1396,55.1960,-8:00,Pacific Time (US & Canada),lesa.ortiz@example.com,1985-03-28T09:50:57.769Z,36,2014-03-29T00:33:38.437Z,7,(961)-823-2697,(705)-125-8137,SSN,112-66-0132,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
